symbol,direction,entry_time,exit_time,entry,sl,risk_per_unit,r_multiple,pnl_pct,outcome
ETH/USD,SHORT,2025-11-16 02:00:00+00:00,2025-11-16 12:00:00+00:00,3200.68,3265.20,64.5218,0.3916,0.003916,win
ETH/USD,SHORT,2025-11-17 14:00:00+00:00,2025-11-18 10:00:00+00:00,3188.96,3260.29,71.3308,1.7906,0.017906,win
BTC/USD,SHORT,2025-11-19 02:00:00+00:00,2025-11-19 12:00:00+00:00,92644.49,94045.92,1401.4331,0.4975,0.004975,win
ETH/USD,SHORT,2025-11-19 07:00:00+00:00,2025-11-19 17:00:00+00:00,3076.83,3180.40,103.5741,1.4110,0.014110,win
BTC/USD,SHORT,2025-11-20 13:00:00+00:00,2025-11-21 07:00:00+00:00,92445.80,94026.93,1581.1341,2.6757,0.026757,win
ETH/USD,SHORT,2025-11-22 07:00:00+00:00,2025-11-22 17:00:00+00:00,2757.73,2817.83,60.0977,0.0334,0.000334,win
BTC/USD,SHORT,2025-11-22 11:00:00+00:00,2025-11-22 21:00:00+00:00,84343.91,85860.04,1516.1256,-0.1512,-0.001512,loss
BTC/USD,SHORT,2025-11-30 02:00:00+00:00,2025-11-30 08:00:00+00:00,90719.16,91252.11,532.9463,-1.2443,-0.012443,loss
BTC/USD,SHORT,2025-12-02 23:00:00+00:00,2025-12-03 01:00:00+00:00,91631.49,92204.97,573.4764,-1.2317,-0.012317,loss
ETH/USD,SHORT,2025-12-02 23:00:00+00:00,2025-12-03 05:00:00+00:00,2998.00,3061.10,63.0985,-1.0970,-0.010970,loss
BTC/USD,SHORT,2025-12-07 01:00:00+00:00,2025-12-07 11:00:00+00:00,89329.38,90387.02,1057.6396,0.0290,0.000290,win
ETH/USD,SHORT,2025-12-14 06:00:00+00:00,2025-12-14 12:00:00+00:00,3115.00,3139.59,24.5943,1.3822,0.013822,win
BTC/USD,SHORT,2025-12-17 06:00:00+00:00,2025-12-17 14:00:00+00:00,86756.74,88323.08,1566.3399,-1.1065,-0.011065,loss
ETH/USD,SHORT,2025-12-17 06:00:00+00:00,2025-12-17 14:00:00+00:00,2937.65,2989.09,51.4426,-1.1085,-0.011085,loss
BTC/USD,SHORT,2025-12-19 19:00:00+00:00,2025-12-20 05:00:00+00:00,87466.09,89686.49,2220.4002,-0.4607,-0.004607,loss
ETH/USD,SHORT,2025-12-20 17:00:00+00:00,2025-12-21 03:00:00+00:00,2981.34,3024.17,42.8339,0.0756,0.000756,win
BTC/USD,SHORT,2025-12-21 07:00:00+00:00,2025-12-21 08:00:00+00:00,88149.99,88502.96,352.9715,-1.3397,-0.013397,loss
BTC/USD,SHORT,2025-12-25 13:00:00+00:00,2025-12-25 15:00:00+00:00,87603.78,88122.18,518.4004,-1.2428,-0.012428,loss
ETH/USD,SHORT,2025-12-25 13:00:00+00:00,2025-12-25 15:00:00+00:00,2931.33,2966.48,35.1488,-1.1401,-0.011401,loss
BTC/USD,SHORT,2025-12-31 03:00:00+00:00,2025-12-31 13:00:00+00:00,88493.62,89506.15,1012.5317,-0.6370,-0.006370,loss
BTC/USD,SHORT,2026-01-09 11:00:00+00:00,2026-01-09 15:00:00+00:00,90481.20,91750.63,1269.4314,-1.1255,-0.011255,loss
ETH/USD,SHORT,2026-01-09 15:00:00+00:00,2026-01-10 01:00:00+00:00,3115.37,3155.39,40.0162,0.4978,0.004978,win
BTC/USD,LONG,2026-01-15 13:00:00+00:00,2026-01-15 14:00:00+00:00,96750.00,95643.44,1106.5579,-1.1449,-0.011449,loss
ETH/USD,SHORT,2026-01-18 04:00:00+00:00,2026-01-18 14:00:00+00:00,3312.84,3333.07,20.2255,-1.2366,-0.012366,loss
BTC/USD,SHORT,2026-01-22 18:00:00+00:00,2026-01-23 04:00:00+00:00,89742.67,90715.95,973.2787,-0.3795,-0.003795,loss
BTC/USD,SHORT,2026-01-23 14:00:00+00:00,2026-01-23 16:00:00+00:00,89388.71,90203.56,814.8529,-1.1716,-0.011716,loss
ETH/USD,SHORT,2026-01-23 15:00:00+00:00,2026-01-23 17:00:00+00:00,2951.42,2991.68,40.2645,-1.1280,-0.011280,loss
